UF,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101
AC,232728,262130,193618,272757,250730,261903,244613,253664,247182,359
AL,719749,804189,590754,828834,758621,811972,763259,786701,769449,1092
AM,1069958,1226174,887436,1293357,1188298,1283773,1188641,1236976,1204627,2045
AP,233116,266355,177218,280564,252383,278264,255102,267158,261775,391
BA,3523295,3891175,2863543,3993303,3644884,3942503,3713407,3833570,3771667,5486
CE,2355184,2595063,1899436,2655474,2417359,2625540,2475938,2555877,2519088,2980
DF,432187,559770,336067,609393,544521,668661,607795,642377,620282,1449
ES,783707,971269,614295,1037650,921547,1105977,1012407,1060620,1030948,2129
GO,1274429,1600393,965872,1705596,1523289,1823671,1656402,1740381,1691204,3781
MA,1846921,2011226,1525217,2037557,1905311,1947374,1820657,1880472,1850866,2568
MG,3505722,4236152,2720335,4479888,4006137,4703158,4304392,4497270,4373650,12124
MS,524497,628322,385014,673213,594575,713165,643123,674933,653443,1402
MT,672680,824927,492279,881391,777836,931031,837414,875390,845637,1947
PA,2326130,2574811,1842277,2677348,2460801,2629332,2438852,2520984,2460274,3496
PB,1016479,1116605,844086,1141128,1046253,1123131,1060939,1091092,1073428,1359
PE,2121852,2339312,1696636,2428693,2212224,2431991,2276268,2353935,2310666,3384
PI,893722,976550,741791,1004018,930526,977864,919426,950265,935429,1118
PR,1776954,2228146,1334455,2379826,2111073,2571818,2328521,2441882,2360771,4594
RJ,3109633,3855867,2492431,4119604,3650207,4354310,4020597,4215953,4102799,8455
RN,855077,951326,677206,978985,883120,978021,915950,944341,927996,1079
RO,380154,458287,277510,488834,433503,519536,473708,497518,486000,1028
RR,157748,182088,127340,196972,179305,200446,183381,192840,187785,283
RS,1592182,1929660,1193087,2124816,1908247,2351937,2137878,2252004,2176896,4104
SC,850150,1127815,668483,1236573,1110538,1399418,1262581,1323877,1269820,2987
SE,552626,608239,441370,623512,565973,615790,579650,598964,587362,681
SP,6231050,7971971,4885583,8535885,7587971,9236330,8400822,8804027,8476472,27324
TO,370985,419108,266049,434480,390430,436362,400852,416693,407649,597
XX,651,450,208,504,588,10506,25337,36270,43993,124
